gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020492181761093686,0.002739066650804922,0.002418336531163856,0.04601532088051741
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030437027471552636,0.002739066650804922,0.002418336531163856,0.04919908058624789
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029870791895760807,0.002739066650804922,0.002418336531163856,0.04606503984690624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005088488350914355,0.002739066650804922,0.002418336531163856,0.05138792961646588
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001561327479233654,0.002739066650804922,0.002418336531163856,0.05302949048231054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032596488344700525,0.002739066650804922,0.002418336531163856,0.05646199683362374
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013655096896940666,0.002739066650804922,0.002418336531163856,0.05501938774015391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009477529656177208,0.002739066650804922,0.002418336531163856,0.04502041020500469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077117642666439945,0.002739066650804922,0.002418336531163856,0.03696145914767213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001966916133902208,0.002739066650804922,0.002418336531163856,0.034921842923439694
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013939304724642776,0.002739066650804922,0.002418336531163856,0.03347923382996987
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029843326940433013,0.002739066650804922,0.002418336531163856,0.03656347969610341
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008878393665489703,0.002739066650804922,0.002418336531163856,0.027360461064091623
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006440062965038518,0.002739066650804922,0.002418336531163856,0.03397672712113531
